'Nombre del mes', 'Primer día de gastos', 'Segundo día de gastos', 'Día de salario' 
'Enero', '2015-01-01', '2015-01-15', '2015-01-30'
'Febrero', '2015-02-02', '2015-02-16', '2015-02-27'
'Marzo', '2015-03-02', '2015-03-16', '2015-03-31'
'Abril', '2015-04-01', '2015-04-15', '2015-04-30'
'Mayo', '2015-05-01', '2015-05-15', '2015-05-29'
'Junio', '2015-06-01', '2015-06-15', '2015-06-30'
'Julio', '2015-07-01', '2015-07-15', '2015-07-31'
'Agosto', '2015-08-03', '2015-08-17', '2015-08-31'
'Septiembre', '2015-09-01', '2015-09-15', '2015-09-30'
'Octubre', '2015-10-01', '2015-10-15', '2015-10-30'
'Noviembre', '2015-11-02', '2015-11-16', '2015-11-30'
'Diciembre', '2015-12-01', '2015-12-15', '2015-12-31'
